data_point_id,esrs_standard,metric_code,metric_name,value,unit,period,source,quality_score
DP-E1-001,E1,E1-6-S1-TOT,Scope 1 total GHG emissions,8250.00,tCO2e,2025-FY,direct_measurement,0.95
DP-E1-002,E1,E1-6-S1-CO2,Scope 1 CO2 emissions,7850.00,tCO2e,2025-FY,direct_measurement,0.95
DP-E1-003,E1,E1-6-S1-CH4,Scope 1 CH4 emissions,180.00,tCO2e,2025-FY,engineering_calculation,0.88
DP-E1-004,E1,E1-6-S1-N2O,Scope 1 N2O emissions,220.00,tCO2e,2025-FY,engineering_calculation,0.88
DP-E1-005,E1,E1-6-S1-STAT,Scope 1 stationary combustion,6200.00,tCO2e,2025-FY,direct_measurement,0.94
DP-E1-006,E1,E1-6-S1-MOB,Scope 1 mobile combustion,1450.00,tCO2e,2025-FY,fleet_records,0.90
DP-E1-007,E1,E1-6-S1-FUG,Scope 1 fugitive emissions,350.00,tCO2e,2025-FY,leak_detection,0.85
DP-E1-008,E1,E1-6-S1-PROC,Scope 1 process emissions,250.00,tCO2e,2025-FY,engineering_calculation,0.82
DP-E1-009,E1,E1-6-S2-LOC,Scope 2 location-based emissions,12800.00,tCO2e,2025-FY,grid_factor_calculation,0.92
DP-E1-010,E1,E1-6-S2-MKT,Scope 2 market-based emissions,8320.00,tCO2e,2025-FY,contractual_instruments,0.93
DP-E1-011,E1,E1-6-S3-TOT,Scope 3 total GHG emissions,145000.00,tCO2e,2025-FY,hybrid_calculation,0.78
DP-E1-012,E1,E1-6-S3-C1,Scope 3 Cat 1 purchased goods,98000.00,tCO2e,2025-FY,spend_based,0.72
DP-E1-013,E1,E1-6-S3-C3,Scope 3 Cat 3 fuel and energy,4200.00,tCO2e,2025-FY,calculation,0.85
DP-E1-014,E1,E1-6-S3-C4,Scope 3 Cat 4 upstream transport,12500.00,tCO2e,2025-FY,distance_based,0.80
DP-E1-015,E1,E1-6-S3-C5,Scope 3 Cat 5 waste,3800.00,tCO2e,2025-FY,waste_records,0.88
DP-E1-016,E1,E1-6-S3-C6,Scope 3 Cat 6 business travel,2100.00,tCO2e,2025-FY,expense_records,0.90
DP-E1-017,E1,E1-6-S3-C7,Scope 3 Cat 7 employee commuting,3400.00,tCO2e,2025-FY,survey_data,0.75
DP-E1-018,E1,E1-6-S3-C9,Scope 3 Cat 9 downstream transport,8500.00,tCO2e,2025-FY,distance_based,0.78
DP-E1-019,E1,E1-6-S3-C11,Scope 3 Cat 11 use of sold products,12500.00,tCO2e,2025-FY,calculation,0.70
