import_id,cn_code,description,quantity_tonnes,country_of_origin,supplier_id,installation_id,date,eori_number,unit_price_eur,total_value_eur,production_route,port_of_entry
IMP-2026-0001,7208 51 00,Hot-rolled flat steel coil >=600mm,450.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-05,DE327891234567,620.00,279000.00,bf_bof,Hamburg
IMP-2026-0002,7208 51 00,Hot-rolled flat steel coil >=600mm,380.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-08,DE327891234567,625.00,237500.00,bf_bof,Hamburg
IMP-2026-0003,7209 17 00,Cold-rolled flat steel >=600mm,220.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-10,DE327891234567,750.00,165000.00,bf_bof,Hamburg
IMP-2026-0004,7601 10 00,Unwrought aluminium not alloyed,125.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-12,DE327891234567,2350.00,293750.00,primary_smelting,Rotterdam
IMP-2026-0005,7208 39 00,Hot-rolled flat steel coil <3mm,300.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-14,DE327891234567,610.00,183000.00,eaf,Hamburg
IMP-2026-0006,2523 29 00,Portland cement,180.00,IN,SUPP-IN-001,INST-IN-001-A,2026-01-15,DE327891234567,85.00,15300.00,clinker_kiln,Hamburg
IMP-2026-0007,7210 49 00,Flat-rolled steel clad/plated/coated,280.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-18,DE327891234567,780.00,218400.00,bf_bof,Hamburg
IMP-2026-0008,7606 12 00,Aluminium alloy plates/sheets >0.2mm,85.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-20,DE327891234567,3100.00,263500.00,primary_smelting,Rotterdam
IMP-2026-0009,7213 10 00,Hot-rolled steel bars in coils,350.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-22,DE327891234567,580.00,203000.00,eaf,Hamburg
IMP-2026-0010,2523 10 00,Cement clinkers,250.00,IN,SUPP-IN-001,INST-IN-001-A,2026-01-24,DE327891234567,55.00,13750.00,clinker_kiln,Hamburg
IMP-2026-0011,7208 51 00,Hot-rolled flat steel coil >=600mm,420.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-26,DE327891234567,618.00,259560.00,bf_bof,Hamburg
IMP-2026-0012,7601 20 00,Unwrought aluminium alloys,95.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-28,DE327891234567,2450.00,232750.00,primary_smelting,Rotterdam
IMP-2026-0013,7304 31 00,Seamless steel tubes cold-drawn,150.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-30,DE327891234567,1200.00,180000.00,bf_bof,Hamburg
IMP-2026-0014,7216 33 00,H-sections steel hot-rolled,280.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-01,DE327891234567,590.00,165200.00,eaf,Hamburg
IMP-2026-0015,7604 21 00,Aluminium alloy hollow profiles,60.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-03,DE327891234567,3500.00,210000.00,primary_smelting,Rotterdam
IMP-2026-0016,7208 51 00,Hot-rolled flat steel coil >=600mm,500.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-05,DE327891234567,622.00,311000.00,bf_bof,Hamburg
IMP-2026-0017,2523 29 00,Portland cement,200.00,IN,SUPP-IN-001,INST-IN-001-A,2026-02-06,DE327891234567,87.00,17400.00,clinker_kiln,Hamburg
IMP-2026-0018,7209 17 00,Cold-rolled flat steel >=600mm,240.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-08,DE327891234567,755.00,181200.00,bf_bof,Hamburg
IMP-2026-0019,7606 12 00,Aluminium alloy plates/sheets >0.2mm,70.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-10,DE327891234567,3150.00,220500.00,primary_smelting,Rotterdam
IMP-2026-0020,7208 39 00,Hot-rolled flat steel coil <3mm,320.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-12,DE327891234567,608.00,194560.00,eaf,Hamburg
IMP-2026-0021,7318 15 00,Steel screws and bolts,45.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-14,DE327891234567,1800.00,81000.00,bf_bof,Hamburg
IMP-2026-0022,7601 10 00,Unwrought aluminium not alloyed,110.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-15,DE327891234567,2370.00,260700.00,primary_smelting,Rotterdam
IMP-2026-0023,7210 49 00,Flat-rolled steel clad/plated/coated,260.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-17,DE327891234567,785.00,204100.00,bf_bof,Hamburg
IMP-2026-0024,7213 10 00,Hot-rolled steel bars in coils,380.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-19,DE327891234567,575.00,218500.00,eaf,Hamburg
IMP-2026-0025,2523 90 00,Other hydraulic cements,120.00,IN,SUPP-IN-001,INST-IN-001-A,2026-02-20,DE327891234567,80.00,9600.00,clinker_kiln,Hamburg
IMP-2026-0026,7208 51 00,Hot-rolled flat steel coil >=600mm,460.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-22,DE327891234567,620.00,285200.00,bf_bof,Hamburg
IMP-2026-0027,7604 29 00,Other aluminium alloy bars and rods,50.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-24,DE327891234567,3400.00,170000.00,primary_smelting,Rotterdam
IMP-2026-0028,7209 17 00,Cold-rolled flat steel >=600mm,200.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-26,DE327891234567,748.00,149600.00,bf_bof,Hamburg
IMP-2026-0029,7306 30 00,Welded steel tubes circular section,180.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-28,DE327891234567,850.00,153000.00,eaf,Hamburg
