import_id,entity_id,entity_name,import_date,cn_code,goods_description,goods_category,country_of_origin,supplier_id,supplier_name,installation_id,production_route,quantity_tonnes,value_eur,emission_intensity_tco2e_per_t,total_emissions_tco2e,calculation_method,carbon_price_paid_eur_per_t,customs_declaration_ref,bill_of_lading_ref
IMP-2026-0001,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-03,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,520.0,390000.00,1.95,1014.00,actual,0.00,CUS-DE-2026-000001,BL-HAM-2026-0001
IMP-2026-0002,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-05,7209,Cold-rolled flat steel >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,350.0,332500.00,2.15,752.50,actual,8.50,CUS-DE-2026-000002,BL-HAM-2026-0002
IMP-2026-0003,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-08,7210,Coated flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,280.0,252000.00,2.05,574.00,actual,0.00,CUS-DE-2026-000003,BL-HAM-2026-0003
IMP-2026-0004,NORD-STAHL-001,NordStahl Handel GmbH,2026-01-07,7213,Hot-rolled bars and rods,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,420.0,294000.00,0.52,218.40,actual,0.00,CUS-DE-2026-000004,BL-HAM-2026-0004
IMP-2026-0005,NORD-STAHL-001,NordStahl Handel GmbH,2026-01-10,7214,Forged bars and rods,iron_steel,IN,SUPP-IN-002,Tata Steel BSL,INST-IN-002-BF,bf_bof,300.0,240000.00,2.50,750.00,actual,0.00,CUS-DE-2026-000005,BL-HAM-2026-0005
IMP-2026-0006,ALPINE-METAL-001,AlpineMetal AG,2026-01-09,7601 10 00,Unwrought aluminium not alloyed,aluminium,NO,SUPP-NO-001,Nordic Aluminium AS,INST-NO-001-SM,primary_smelting,180.0,432000.00,2.50,450.00,actual,85.00,CUS-AT-2026-000001,BL-VIE-2026-0001
IMP-2026-0007,ALPINE-METAL-001,AlpineMetal AG,2026-01-12,2523 29 00,Other Portland cement,cement,IN,SUPP-IN-001,Rajasthan Cement Ltd,INST-IN-001-CK,clinker_kiln,800.0,120000.00,0.95,760.00,actual,0.00,CUS-AT-2026-000002,BL-VIE-2026-0002
IMP-2026-0008,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-14,7208,Hot-rolled flat steel >=600mm,iron_steel,EG,SUPP-EG-001,Ezz Steel SAE,INST-EG-001-EAF,eaf,450.0,315000.00,0.60,270.00,actual,0.00,CUS-DE-2026-000006,BL-HAM-2026-0006
IMP-2026-0009,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-16,7218,Stainless steel semi-finished,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-002-EAF,eaf,120.0,180000.00,0.65,78.00,actual,8.50,CUS-DE-2026-000007,BL-HAM-2026-0007
IMP-2026-0010,NORD-STAHL-001,NordStahl Handel GmbH,2026-01-17,7216,Angles shapes and sections,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,380.0,266000.00,0.52,197.60,actual,0.00,CUS-DE-2026-000008,BL-HAM-2026-0008
IMP-2026-0011,ALPINE-METAL-001,AlpineMetal AG,2026-01-18,7604 21 00,Aluminium alloy hollow profiles,aluminium,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-003-SM,primary_smelting,95.0,190000.00,12.50,1187.50,actual,8.50,CUS-AT-2026-000003,BL-VIE-2026-0003
