Agent_ID,Blueprint_Name,Agent_Name,Domain,Subdomain,Category,Level,Sector_Instance,Region,Priority,Complexity,Market_Size_USD_Bn,Carbon_Impact_GtCO2_per_year,Payback_Years,Development_Timeline,Description
GLA-00001,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in Global (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,Global,P0,High,2.0,2.5,2-5,Q1 2026,AI coordinator agent that coordinates and orchestrates process heat in the industrial sector for GenericIndustrial in Global at the asset level to reduce emissions and operating cost.
GLA-00002,Industrial Heat Recovery Optimizer,Heat Recovery Optimizer for Steel in US (Site level),Industrial,Heat Recovery,Optimizer,Site,Steel,US,P0,High,3.0,1.8,2-5,Q4 2025,AI optimizer agent that optimizes and enhances heat recovery in the industrial sector for Steel in US at the site level to reduce emissions and operating cost.
GLA-00003,Industrial Heat Pumps Monitor,Heat Pumps Monitor for Cement in EU (Fleet level),Industrial,Heat Pumps,Monitor,Fleet,Cement,EU,P1,Medium,5.4,2.2,1-3,Q3 2026,AI monitor agent that monitors and tracks heat pumps in the industrial sector for Cement in EU at the fleet level to reduce emissions and operating cost.
GLA-00004,Industrial Process Integration Controller,Process Integration Controller for Chemicals in UK (Portfolio level),Industrial,Process Integration,Controller,Portfolio,Chemicals,UK,P1,Medium,3.2,1.0,1-3,Q2 2026,AI controller agent that controls and regulates process integration in the industrial sector for Chemicals in UK at the portfolio level to reduce emissions and operating cost.
GLA-00005,Industrial Future Fuels Automator,Future Fuels Automator for Refining in China (Asset level),Industrial,Future Fuels,Automator,Asset,Refining,China,P1,Medium,1.2,1.5,1-3,Q3 2026,AI automator agent that automates and manages future fuels in the industrial sector for Refining in China at the asset level to reduce emissions and operating cost.
GLA-00006,Industrial Steam & Boilers Predictor,Steam & Boilers Predictor for Petrochemicals in India (Site level),Industrial,Steam & Boilers,Predictor,Site,Petrochemicals,India,P1,Medium,2.0,1.6,1-3,Q2 2026,AI predictor agent that predicts and forecasts steam & boilers in the industrial sector for Petrochemicals in India at the site level to reduce emissions and operating cost.
GLA-00007,Industrial Combustion Analyzer,Combustion Analyzer for PulpPaper in SEAsia (Fleet level),Industrial,Combustion,Analyzer,Fleet,PulpPaper,SEAsia,P1,Medium,2.7,1.4,1-3,Q3 2026,AI analyzer agent that analyzes and evaluates combustion in the industrial sector for PulpPaper in SEAsia at the fleet level to reduce emissions and operating cost.
GLA-00008,Industrial Process Heat Calculator,Process Heat Calculator for FoodBeverage in MENA (Portfolio level),Industrial,Process Heat,Calculator,Portfolio,FoodBeverage,MENA,P2,Low,8.0,2.5,0.5-2,Q4 2026,AI calculator agent that calculates and quantifies process heat in the industrial sector for FoodBeverage in MENA at the portfolio level to reduce emissions and operating cost.
GLA-00009,Industrial Heat Recovery Reporter,Heat Recovery Reporter for Glass in LatAm (Asset level),Industrial,Heat Recovery,Reporter,Asset,Glass,LatAm,P2,Low,1.5,1.8,0.5-2,Q1 2027,AI reporter agent that reports and documents heat recovery in the industrial sector for Glass in LatAm at the asset level to reduce emissions and operating cost.
GLA-00010,Industrial Heat Pumps Integrator,Heat Pumps Integrator for Mining in Africa (Site level),Industrial,Heat Pumps,Integrator,Site,Mining,Africa,P0,High,3.6,2.2,2-5,Q4 2025,AI integrator agent that integrates and connects heat pumps in the industrial sector for Mining in Africa at the site level to reduce emissions and operating cost.
