Agent_ID,Blueprint_Name,Agent_Name,Domain,Subdomain,Category,Level,Sector_Instance,Region,Priority,Complexity,Market_Size_USD_Bn,Carbon_Impact_GtCO2_per_year,Payback_Years,Development_Timeline,Description
GLA-00001,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in Global (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,Global,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in Global at the asset level to reduce emissions and operating cost.
GLA-00002,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in US (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,US,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in US at the asset level to reduce emissions and operating cost.
GLA-00003,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in EU (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,EU,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in EU at the asset level to reduce emissions and operating cost.
GLA-00004,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in UK (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,UK,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in UK at the asset level to reduce emissions and operating cost.
GLA-00005,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in China (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,China,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in China at the asset level to reduce emissions and operating cost.
GLA-00006,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in India (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,India,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in India at the asset level to reduce emissions and operating cost.
GLA-00007,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in SEAsia (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,SEAsia,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in SEAsia at the asset level to reduce emissions and operating cost.
GLA-00008,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in MENA (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,MENA,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in MENA at the asset level to reduce emissions and operating cost.
GLA-00009,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in LatAm (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,LatAm,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in LatAm at the asset level to reduce emissions and operating cost.
GLA-00010,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in Africa (Asset level),Industrial,Process Heat,Coordinator,Asset,GenericIndustrial,Africa,P0,High,2,2.5,02-May,Q1 2026,AI coordinator agent that optimizes process heat in the industrial sector for GenericIndustrial in Africa at the asset level to reduce emissions and operating cost.
