Agent_ID,Agent_Name,Domain,Category,Type,Complexity,Priority,Market_Size,Carbon_Impact,Payback_Years,Development_Timeline,Description
IND-001,ProcessHeatOrchestrator,Industrial,Process Heat,Coordinator,High,P0,$20B,2.5 Gt/yr,3-5,Q4 2025,Master coordinator for industrial process heat optimization across multiple systems
IND-002,BoilerEfficiencyOptimizer,Industrial,Process Heat,Optimizer,Medium,P0,$15B,1.8 Gt/yr,2-4,Q4 2025,Optimizes boiler operations for maximum efficiency and minimum emissions
IND-003,SteamSystemAnalyzer,Industrial,Process Heat,Monitor,Medium,P1,$10B,1.2 Gt/yr,2-3,Q1 2026,Monitors and analyzes steam distribution systems for losses and inefficiencies
IND-004,BurnerOptimizationAgent,Industrial,Process Heat,Optimizer,Low,P1,$5B,0.6 Gt/yr,1-2,Q1 2026,Optimizes combustion parameters for industrial burners
IND-005,CombustionControlAgent,Industrial,Process Heat,Automator,Medium,P1,$8B,0.9 Gt/yr,2-3,Q2 2026,Automates combustion control for optimal air-fuel ratios
IND-006,FurnaceEfficiencyAgent,Industrial,Process Heat,Optimizer,High,P1,$12B,1.5 Gt/yr,3-5,Q2 2026,Comprehensive furnace optimization including heat recovery
IND-007,ThermalInsulationAgent,Industrial,Process Heat,Calculator,Low,P2,$3B,0.3 Gt/yr,0.5-1,Q2 2026,Calculates optimal insulation requirements and payback
IND-008,HeatLossDetectionAgent,Industrial,Process Heat,Monitor,Medium,P1,$4B,0.4 Gt/yr,1-2,Q2 2026,Detects and quantifies heat losses in industrial processes
IND-009,ProcessSchedulingAgent,Industrial,Process Heat,Optimizer,High,P1,$7B,0.8 Gt/yr,2-4,Q3 2026,Optimizes production scheduling for energy efficiency
IND-010,PreheatingOptimizer,Industrial,Process Heat,Optimizer,Medium,P2,$5B,0.5 Gt/yr,1-3,Q3 2026,Optimizes preheating strategies for materials and air
IND-101,WasteHeatRecoveryMaster,Industrial,Heat Recovery,Coordinator,High,P0,$15B,1.8 Gt/yr,1-3,Q4 2025,Coordinates waste heat recovery across entire facility
IND-102,HeatExchangerOptimizer,Industrial,Heat Recovery,Optimizer,Medium,P0,$10B,1.2 Gt/yr,2-4,Q1 2026,Optimizes heat exchanger networks for maximum recovery
IND-103,ThermalStorageManager,Industrial,Heat Recovery,Monitor,Medium,P1,$8B,0.9 Gt/yr,3-5,Q1 2026,Manages thermal energy storage systems
IND-104,PinchAnalysisAgent,Industrial,Heat Recovery,Calculator,High,P1,$5B,0.6 Gt/yr,2-3,Q2 2026,Performs pinch analysis for process integration
